video_id,comment_id,text,author,channel_id,likes,replies,time,timestamp,scraped_at,source,original_length,clean_text,normalized_text,processed_text,sentiment_text,text_length,word_count,avg_word_length,sentiment_polarity,sentiment_subjectivity,has_exclamation,has_question,has_emoji
dc5S4IV_NeA,Ugya2mdFSXzChjPC0mF4AaABAg,Worst one yet so disappointed,@mrsK1620,,0,0,5 days ago,1762740609.15661,2025-11-14T21:10:09.156610,youtube,29,Worst one yet so disappointed,worst one yet so disappointed,worst one yet disappointed,Worst one yet so disappointed,29,5,5.0,-0.875,0.875,False,False,False
dc5S4IV_NeA,UgyOKd95yvgpDgD8rG54AaABAg,A white family in 2025????,@nopenope3512,,0,0,5 days ago,1762740609.25825,2025-11-14T21:10:09.258250,youtube,26,A white family in 2025????,a white family in,white family,A white family in 2025????,26,5,4.4,0.0,0.0,False,True,False
dc5S4IV_NeA,Ugz3Ww9donCWDJBPrTt4AaABAg,"Reality sets in after watching this advert and it’s true 
Thank you John Lewis ❤❤",@markwild3864,,0,0,5 days ago,1762740609.460687,2025-11-14T21:10:09.460687,youtube,81,Reality sets in after watching this advert and it’s true Thank you John Lewis ❤❤,reality sets in after watching this advert and it’s true thank you john lewis ❤❤,reality set watching advert true thank john lewis,Reality sets in after watching this advert and it’s true Thank you John Lewis ❤❤,81,15,4.4,0.35,0.65,False,False,True
dc5S4IV_NeA,Ugy_-TddWwExrtn3LDJ4AaABAg,Have the left lost their minds. A father and son recognition of love whatever next?,@MrBottomrung,,0,0,5 days ago,1762740609.562375,2025-11-14T21:10:09.562375,youtube,83,Have the left lost their minds. A father and son recognition of love whatever next?,have the left lost their minds a father and son recognition of love whatever next,left lost mind father son recognition love whatever next,Have the left lost their minds. A father and son recognition of love whatever next?,83,15,4.6,0.16666666666666666,0.19999999999999998,False,True,False
dc5S4IV_NeA,Ugwc_5_qlz7irhtT0Fh4AaABAg,Great ad. Charlotte Wells should be contacting her lawyers though.,@chrislittle2797,,0,0,5 days ago,1762740609.663846,2025-11-14T21:10:09.663846,youtube,66,Great ad. Charlotte Wells should be contacting her lawyers though.,great ad charlotte wells should be contacting her lawyers though,ad charlotte well contacting lawyer though,Great ad. Charlotte Wells should be contacting her lawyers though.,66,10,5.7,0.8,0.75,False,False,False
dc5S4IV_NeA,Ugx-wd9vX4z-rjB14Gx4AaABAg,Watching adverts to watch an advert. Wild.,@Kate28889,,0,0,5 days ago,1762740609.764192,2025-11-14T21:10:09.764192,youtube,42,Watching adverts to watch an advert. Wild.,watching adverts to watch an advert wild,watching advert watch advert wild,Watching adverts to watch an advert. Wild.,42,7,5.142857142857143,0.1,0.4,False,False,False
dc5S4IV_NeA,UgygZLF6nZ1Wf-jHf994AaABAg,I showed this to my wife but had to walk out to hide the tears. Great ad.,@sonicboove4865,,0,0,5 days ago,1762740609.865307,2025-11-14T21:10:09.865307,youtube,73,I showed this to my wife but had to walk out to hide the tears. Great ad.,i showed this to my wife but had to walk out to hide the tears great ad,showed wife walk hide tear ad,I showed this to my wife but had to walk out to hide the tears. Great ad.,73,17,3.3529411764705883,0.8,0.75,False,False,False
dc5S4IV_NeA,UgzgmntyDfeogkHvXYl4AaABAg,Complete rip off of After Sun,@ThepigandThemonkey,,0,0,5 days ago,1762740609.967434,2025-11-14T21:10:09.967434,youtube,29,Complete rip off of After Sun,complete rip off of after sun,complete rip sun,Complete rip off of After Sun,29,6,4.0,0.1,0.4,False,False,False
dc5S4IV_NeA,Ugyz7iGmKUwicbRQqBx4AaABAg,Love this. A traditional normal white family.🫶👏👏,@007redmist,,0,0,5 days ago,1762740610.067869,2025-11-14T21:10:10.067869,youtube,48,Love this. A traditional normal white family.🫶👏👏,love this a traditional normal white family🫶👏👏,love traditional normal white family,Love this. A traditional normal white family.🫶👏👏,48,7,6.0,0.1625,0.5,False,False,True
dc5S4IV_NeA,UgxTzDK57zSNVCYS2Bt4AaABAg,Merry Christmas Dad,@Flo-xl7zv,,0,0,5 days ago,1762740610.169046,2025-11-14T21:10:10.169046,youtube,19,Merry Christmas Dad,merry christmas dad,merry christmas dad,Merry Christmas Dad,19,3,5.666666666666667,0.0,0.0,False,False,False
dc5S4IV_NeA,UgwtBO8lqU8r3Q6C7Zt4AaABAg,Beautifully composed and speaks volumes in a world which is so uncertain today. This actually made me cry ❤,@WKartist,,0,0,5 days ago,1762740610.371589,2025-11-14T21:10:10.371589,youtube,107,Beautifully composed and speaks volumes in a world which is so uncertain today. This actually made me cry ❤,beautifully composed and speaks volumes in a world which is so uncertain today this actually made me cry ❤,beautifully composed speaks volume world uncertain today actually made cry,Beautifully composed and speaks volumes in a world which is so uncertain today. This actually made me cry ❤,107,19,4.684210526315789,0.425,0.55,False,False,True
